target,blocks,na_policy,scaling,n_neighbors,min_dist,min_cluster_size,seed,n_genes,n_features,n_clusters,noise_frac,n_excluded,excluded,mean_f1,best_f1,best_label,n_labels_scored,n_labels_recovered
compartment,expression_summary+fitness_screens+interactions,median,rank,50,0.0,25,42,3000,16,9,0.13966666666666666,5,compartment;compartment_best;lopit_map;lopit_mcmc;lopit_unified,0.1519125170572714,0.22910216718266257,cytosol,15,0
compartment,expression_raw+interactions,median,rank,15,0.25,25,42,3000,22,8,0.09966666666666667,5,compartment;compartment_best;lopit_map;lopit_mcmc;lopit_unified,0.15175842601099582,0.2445141065830721,cytosol,15,0
compartment,expression_raw+published_screens,median,rank,50,0.25,60,42,3000,30,5,0.364,5,compartment;compartment_best;lopit_map;lopit_mcmc;lopit_unified,0.15169786830599127,0.23529411764705882,nucleus - chromatin,12,0
compartment,expression_summary+fitness_screens+interactions,median,rank,50,0.0,60,42,3000,16,6,0.187,5,compartment;compartment_best;lopit_map;lopit_mcmc;lopit_unified,0.1516293086668076,0.24104234527687296,cytosol,16,0
compartment,expression_raw+published_screens+interactions,median,rank,15,0.25,25,42,3000,34,6,0.09766666666666667,5,compartment;compartment_best;lopit_map;lopit_mcmc;lopit_unified,0.15152432958026624,0.23374827109266944,nucleus - chromatin,14,0
compartment,expression_raw+published_screens,median,rank,50,0.25,25,42,3000,30,7,0.201,5,compartment;compartment_best;lopit_map;lopit_mcmc;lopit_unified,0.15140550932319624,0.2345276872964169,nucleus - chromatin,12,0
compartment,expression_raw+fitness_screens+interactions,median,rank,50,0.25,60,42,3000,30,6,0.178,5,compartment;compartment_best;lopit_map;lopit_mcmc;lopit_unified,0.15129563195380172,0.23791821561338292,cytosol,14,0
compartment,expression_summary+expression_raw+interactions,median,rank,15,0.25,25,42,3000,26,7,0.12733333333333333,5,compartment;compartment_best;lopit_map;lopit_mcmc;lopit_unified,0.1510066930494093,0.2484076433121019,cytosol,15,0
compartment,expression_summary+published_screens+interactions,median,rank,15,0.25,60,42,3000,20,5,0.189,5,compartment;compartment_best;lopit_map;lopit_mcmc;lopit_unified,0.15087211342764567,0.22915254237288135,nucleus - chromatin,14,0
compartment,expression_raw+fitness_screens+interactions,median,rank,15,0.25,60,42,3000,30,6,0.15066666666666667,5,compartment;compartment_best;lopit_map;lopit_mcmc;lopit_unified,0.15033377728982875,0.2517985611510792,cytosol,15,0
compartment,expression_summary+protein_features,median,rank,50,0.0,25,42,3000,17,4,0.007333333333333333,5,compartment;compartment_best;lopit_map;lopit_mcmc;lopit_unified,0.15019867656186978,0.29577464788732394,ER,17,0
compartment,interactions,median,rank,15,0.25,60,42,3000,4,14,0.244,5,compartment;compartment_best;lopit_map;lopit_mcmc;lopit_unified,0.15013313243884904,0.2545454545454546,cytosol,15,0
compartment,interactions,median,rank,50,0.0,60,42,3000,4,16,0.071,5,compartment;compartment_best;lopit_map;lopit_mcmc;lopit_unified,0.14969853924114124,0.2441860465116279,cytosol,17,0
compartment,expression_raw+fitness_screens+interactions,median,rank,15,0.25,25,42,3000,30,7,0.10533333333333333,5,compartment;compartment_best;lopit_map;lopit_mcmc;lopit_unified,0.14963626492834317,0.2516556291390728,cytosol,15,0
compartment,expression_summary+expression_raw+protein_features,median,rank,50,0.25,60,42,3000,35,4,0.15533333333333332,5,compartment;compartment_best;lopit_map;lopit_mcmc;lopit_unified,0.14920830698426707,0.2703252032520325,cytosol,16,0
compartment,fitness_screens+published_screens+interactions,median,rank,15,0.25,25,42,3000,24,7,0.15933333333333333,5,compartment;compartment_best;lopit_map;lopit_mcmc;lopit_unified,0.14919539459760123,0.22505800464037123,nucleus - chromatin,14,0
compartment,expression_summary+published_screens+interactions,median,rank,15,0.25,25,42,3000,20,7,0.17466666666666666,5,compartment;compartment_best;lopit_map;lopit_mcmc;lopit_unified,0.1488004551555261,0.2291350531107739,nucleus - chromatin,14,0
compartment,expression_summary+expression_raw+protein_features,median,rank,15,0.25,60,42,3000,35,3,0.15033333333333335,5,compartment;compartment_best;lopit_map;lopit_mcmc;lopit_unified,0.1487365077259003,0.26004228329809725,cytosol,15,0
compartment,published_screens+protein_features,median,rank,50,0.0,25,42,3000,25,14,0.07233333333333333,5,compartment;compartment_best;lopit_map;lopit_mcmc;lopit_unified,0.14828162314355875,0.27108433734939763,ER,16,0
compartment,expression_summary+protein_features+interactions,median,rank,15,0.0,25,42,3000,21,15,0.073,5,compartment;compartment_best;lopit_map;lopit_mcmc;lopit_unified,0.14805371325529382,0.22829581993569129,nucleus - chromatin,15,0
compartment,published_screens+interactions,median,rank,50,0.25,25,42,3000,16,11,0.13333333333333333,5,compartment;compartment_best;lopit_map;lopit_mcmc;lopit_unified,0.14751885822050487,0.22435897435897434,cytosol,15,0
compartment,protein_features,median,rank,15,0.0,25,42,3000,13,33,0.041666666666666664,5,compartment;compartment_best;lopit_map;lopit_mcmc;lopit_unified,0.14746683008769046,0.2695035460992908,ER,17,0
compartment,expression_raw+fitness_screens+protein_features,median,rank,15,0.0,25,42,3000,39,5,0.015,5,compartment;compartment_best;lopit_map;lopit_mcmc;lopit_unified,0.14743953102705484,0.2530009233610342,cytosol,16,0
compartment,expression_summary+protein_features,median,rank,15,0.0,60,42,3000,17,4,0.0,5,compartment;compartment_best;lopit_map;lopit_mcmc;lopit_unified,0.14704314170450852,0.2765273311897106,ER,17,0
