Gene ID	Gene Name or Symbol	Product Description	gene_source_id
TGME49_203370	N/A	Utp12 domain-containing protein	TGME49_203370
TGME49_203375	N/A	cpw-wpc domain-containing protein	TGME49_203375
TGME49_203380	N/A	DnaJ domain-containing protein	TGME49_203380
TGME49_203390	N/A	CRAL/TRIO domain-containing protein	TGME49_203390
TGME49_203400	N/A	hypothetical protein	TGME49_203400
TGME49_203420	N/A	4'-phosphopantetheinyl transferase domain-containing protein	TGME49_203420
TGME49_203440	APC10	anaphase-promoting complex subunit APC10	TGME49_203440
TGME49_203450	BCP1	brain colonization protein BCP1	TGME49_203450
TGME49_203450	BCP1	brain colonization protein BCP1	TGME49_203450
TGME49_203460	N/A	mitochondrial distribution and morphology protein, putative	TGME49_203460
TGME49_203470	N/A	hypothetical protein	TGME49_203470
TGME49_203480	N/A	hypothetical protein	TGME49_203480
TGME49_203490	N/A	GNL3L/Grn1 GTPase	TGME49_203490
TGME49_203500	N/A	alanine dehydrogenase/pyridine nucleotide transhydrogenase domain-containing protein	TGME49_203500
TGME49_203505	N/A	hypothetical protein	TGME49_203505
TGME49_203510	N/A	zinc finger, C3HC4 type (RING finger) domain-containing protein	TGME49_203510
TGME49_203520	N/A	hypothetical protein	TGME49_203520
TGME49_203540	N/A	RNA binding protein, putative	TGME49_203540
TGME49_203590	N/A	hypothetical protein	TGME49_203590
TGME49_203600	GRA50	dense granule protein GRA50	TGME49_203600
TGME49_203610	N/A	3'-5' exoribonuclease csl4, putative	TGME49_203610
TGME49_203620	RPS35	ribosomal protein RPS35	TGME49_203620
TGME49_203630	RPL44	ribosomal protein RPL44	TGME49_203630
TGME49_203665	N/A	hypothetical protein	TGME49_203665
TGME49_203682	N/A	hypothetical protein	TGME49_203682
TGME49_203685	N/A	hypothetical protein	TGME49_203685
TGME49_203688	N/A	hypothetical protein	TGME49_203688
TGME49_203690	AP2VIIA5	AP2 domain transcription factor AP2VIIa-5	TGME49_203690
TGME49_203700	N/A	SFT2 family protein	TGME49_203700
TGME49_203705	N/A	hypothetical protein	TGME49_203705
TGME49_203710	AP2VIIA4	AP2 domain transcription factor AP2VIIa-4	TGME49_203710
TGME49_203720	N/A	vitamin k epoxide reductase family protein	TGME49_203720
TGME49_203730	N/A	hypothetical protein	TGME49_203730
TGME49_203740	N/A	hypothetical protein	TGME49_203740
TGME49_203750	N/A	hypothetical protein	TGME49_203750
TGME49_203760	N/A	hypothetical protein	TGME49_203760
TGME49_203770	N/A	hypothetical protein	TGME49_203770
TGME49_203780	N/A	hypothetical protein	TGME49_203780
TGME49_203790	N/A	hypothetical protein	TGME49_203790
TGME49_203800	N/A	hypothetical protein	TGME49_203800
TGME49_203810	N/A	kelch repeat-containing protein	TGME49_203810
TGME49_203815	N/A	hypothetical protein	TGME49_203815
TGME49_203820	N/A	hypothetical protein	TGME49_203820
TGME49_203830	N/A	FHA domain-containing protein	TGME49_203830
TGME49_203840	N/A	DEAD/DEAH box helicase domain-containing protein	TGME49_203840
TGME49_203860	N/A	hypothetical protein	TGME49_203860
TGME49_203870	N/A	pre-mRNA-splicing factor ISY1, putative	TGME49_203870
TGME49_203880	N/A	hypothetical protein	TGME49_203880
TGME49_203890	N/A	hypothetical protein	TGME49_203890
TGME49_203900	N/A	FAM184 domain-containing protein	TGME49_203900
TGME49_203910	TBC10	TBC domain-containing protein TBC10	TGME49_203910
TGME49_203930	N/A	hypothetical protein	TGME49_203930
TGME49_203940	N/A	ABC1 protein	TGME49_203940
TGME49_203950	N/A	Myb family DNA-binding domain-containing protein	TGME49_203950
TGME49_203960	N/A	hypothetical protein	TGME49_203960
TGME49_203970	N/A	dolichyl-diphosphooligosaccharide--protein glycosyltransferase	TGME49_203970
TGME49_203980	N/A	hypothetical protein	TGME49_203980
TGME49_203985	N/A	hypothetical protein	TGME49_203985
TGME49_203990	ROP12	rhoptry protein ROP12	TGME49_203990
TGME49_204000	N/A	hypothetical protein	TGME49_204000
TGME49_204010	N/A	hypothetical protein	TGME49_204010
TGME49_204020	RPL8	ribosomal protein RPL8	TGME49_204020
TGME49_204040	N/A	hypothetical protein	TGME49_204040
TGME49_204045	N/A	hypothetical protein	TGME49_204045
TGME49_204050	SUB1	subtilisin SUB1	TGME49_204050
TGME49_204060	STX12	syntaxin-12	TGME49_204060
TGME49_204070	N/A	YT521-B family protein	TGME49_204070
TGME49_204080	N/A	histidine acid phosphatase superfamily protein	TGME49_204080
TGME49_204090	N/A	eIF2 kinase IF2K-C	TGME49_204090
TGME49_204100	N/A	eIF2 kinase IF2K-C	TGME49_204100
TGME49_204110	N/A	eIF2 kinase IF2K-C	TGME49_204110
TGME49_204120	N/A	pre-mRNA-splicing factor CWC25, putative	TGME49_204120
TGME49_204130	PLP1	perforin-like protein PLP1	TGME49_204130
TGME49_204140	N/A	PHD-finger domain-containing protein	TGME49_204140
TGME49_204160	N/A	GYF domain-containing protein	TGME49_204160
TGME49_204270	GRA60	dense granule protein GRA60	TGME49_204270
TGME49_204280	DYRK1	cell-cycle-associated protein kinase DYRK1	TGME49_204280
TGME49_204290	N/A	hypothetical protein	TGME49_204290
TGME49_204300	N/A	hypothetical protein	TGME49_204300
TGME49_204310	N/A	hypothetical protein	TGME49_204310
TGME49_204320	N/A	hypothetical protein	TGME49_204320
TGME49_204325	N/A	hypothetical protein	TGME49_204325
TGME49_204330	N/A	hypothetical protein	TGME49_204330
TGME49_204340	GRA54	dense granule protein GRA54	TGME49_204340
TGME49_204350	N/A	GTP-binding protein, putative	TGME49_204350
TGME49_204360	SUB4	subtilisin SUB4	TGME49_204360
TGME49_204370	MPC2	mitochondrial pyruvate carrier protein 2	TGME49_204370
TGME49_204380	N/A	hypothetical protein	TGME49_204380
TGME49_204390	N/A	hypothetical protein	TGME49_204390
TGME49_204395	N/A	hypothetical protein	TGME49_204395
TGME49_204400	N/A	ATPase synthase subunit alpha, putative	TGME49_204400
TGME49_204410	N/A	endonuclease/exonuclease/phosphatase family protein	TGME49_204410
TGME49_204420	OWP1	oocyst wall protein OWP1	TGME49_204420
TGME49_204440	N/A	cyclic nucleotide-binding domain-containing protein	TGME49_204440
TGME49_204460	N/A	hydroxymethylglutaryl-CoA lyase, putative	TGME49_204460
TGME49_204480	N/A	thioredoxin domain-containing protein	TGME49_204480
TGME49_204490	N/A	hypothetical protein	TGME49_204490
TGME49_204500	N/A	hypothetical protein	TGME49_204500
TGME49_204505	N/A	hypothetical protein	TGME49_204505
TGME49_204510	N/A	WD domain, G-beta repeat-containing protein	TGME49_204510
TGME49_204520	N/A	hypothetical protein	TGME49_204520
TGME49_204530	MIC11	microneme protein MIC11	TGME49_204530
TGME49_204540	N/A	DUF367 domain-containing protein	TGME49_204540
TGME49_204550	N/A	hypothetical protein	TGME49_204550
TGME49_204560	N/A	type I fatty acid synthase, putative	TGME49_204560
TGME49_204870	N/A	thrombospondin type 1 domain-containing protein	TGME49_204870
TGME49_204880	N/A	hypothetical protein	TGME49_204880
TGME49_205000	N/A	phosphoglycerate mutase family protein	TGME49_205000
TGME49_205010	N/A	splicing factor 3B subunit 1, putative	TGME49_205010
TGME49_205020	N/A	hypothetical protein	TGME49_205020
TGME49_205030	N/A	protein transport protein BET1, putative	TGME49_205030
TGME49_205040	N/A	PGAP1 family protein	TGME49_205040
TGME49_205050	N/A	hypothetical protein	TGME49_205050
TGME49_205060	N/A	hypothetical protein	TGME49_205060
TGME49_205070	N/A	hypothetical protein	TGME49_205070
TGME49_205080	N/A	hypothetical protein	TGME49_205080
TGME49_205090	N/A	Toxoplasma gondii family D protein	TGME49_205090
TGME49_205100	N/A	hypothetical protein	TGME49_205100
TGME49_205120	N/A	hypothetical protein	TGME49_205120
TGME49_205140	N/A	hypothetical protein	TGME49_205140
TGME49_205150	N/A	ACR, YagE family COG1723 domain-containing protein	TGME49_205150
TGME49_205160	N/A	zinc finger CCHC domain-containing protein	TGME49_205160
TGME49_205170	N/A	hypothetical protein	TGME49_205170
TGME49_205180	N/A	RNA recognition motif-containing protein	TGME49_205180
TGME49_205190	N/A	hypothetical protein	TGME49_205190
TGME49_205200	N/A	hypothetical protein	TGME49_205200
TGME49_205210	N/A	hypothetical protein	TGME49_205210
TGME49_205220	N/A	U5 snRNP-associated subunit, putative	TGME49_205220
