bmdm_tpm	host_id	host_name
288.6470118	P62889	Rpl30
287.8758432	Q9CQ91	Ndufa3
287.8091977	Q62084	Ppp1r14b
287.2530248	Q99KF1	Tmed9
287.1873879	Q62159	Rhoc
285.9213719	Q9CQL7	Mrfap1
285.8125439	Q9CQ69	Uqcrq
284.9391694	Q60930	Vdac2
284.7673687	Q9EQP2	Ehd4
284.2935847	P48771	Cox7a2
284.0642769	Q9QXW9	Slc7a8
283.0922151	Q9DBG6	Rpn2
283.0256214	Q9ESP1	Sdf2l1
281.4780235	Q8BG60	Txnip
280.7265759	P67984	Rpl22
280.2269443	Q61081	Cdc37
278.8159512	P97315	Csrp1
277.7164746	P10107	Anxa1
277.6623463	Q9JLJ0	Litaf
276.9931545	Q60932	Vdac1
276.951634	P70441	Slc9a3r1
276.946633	P97470	Ppp4c
276.5797037	Q91X52	Dcxr
276.4310729	Q9ERK9	P2ry6
276.1242955	Q9D938	Tmem160
274.9962793	Q3TRM8	Hk3
274.8765453	Q7TMM9	Tubb2a
274.5023912	P15105	Glul
274.0565488	Q09014	Ncf1
272.5916604	P62746	Rhob
272.5747139	Q8BTM8	Flna
271.7107851	Q9CQR7	Psenen
271.6102656	P51908	Apobec1
271.6027745	O54984	Asna1
270.6601838	O08992	Sdcbp
269.7679941	P67871	Csnk2b
268.0785336	Q9ERS2	Ndufa13
266.6412843	O88188	Ly86
266.6268893	Q64152	Btf3
265.8619328	P25322	Ccnd1
265.8466905	Q9DB20	Atp5o
264.6871577	P26039	Tln1
264.5007382	Q99LJ5	Cmtm3
264.4983819	O35685	Nudc
264.3825317	P29351	Ptpn6
264.14568	Q9DB34	Chmp2a
263.6601824	Q91XV3	Basp1
263.5106421	P62874	Gnb1
262.4603455	Q9DCW4	Etfb
262.392431	Q9D0Y8	Mrpl52
262.2994349	P62627	Dynlrb1
262.0402375	Q9CQ56	Use1
261.8892686	O88839	Adam15
261.7156335	Q8BK35	Gltscr2
260.9576698	Q9CTG6	Atp13a2
260.7077731	Q8VEM1	Rnf130
260.4683088	Q9QUH0	Glrx
260.0131462	Q8K124	Plekho2
259.976457	P61219	Polr2f
257.5507029	O35639	Anxa3
255.7378623	Q9DCS9	Ndufb10
255.3409132	Q61598	Gdi2
254.3134549	P54265	Dmpk
254.225493	Q9DCJ5	Ndufa8
254.0978392	P70295	Aup1
253.7966594	P26883	Fkbp1a
253.4604236	P97765	Wbp2
253.1680417	Q922F4	Tubb6
253.0466836	Q02819	Nucb1
252.6537774	P62827	Ran
252.354172	O09111	Ndufb11
251.8125256	Q9CYZ6	2810428I15Rik
250.9730766	Q9DBJ1	Pgam1
250.9604188	P97369	Ncf4
250.9216048	Q62376	Snrnp70
249.9289624	Q64012	Raly
249.8581585	Q8R0W6	Ndfip1
249.190161	P06339	H2-T23
249.099039	Q8K4Z3	Apoa1bp
248.9613447	P99028	Uqcrh
248.3197541	Q9DCN2	Cyb5r3
247.8282367	P28650	Adssl1
247.7987735	Q9R0E2	Plod1
245.4234313	Q80WW9	Ddrgk1
242.1849838	P61982	Ywhag
241.8498533	P35762	Cd81
241.3096334	P57780	Actn4
241.0282629	Q91VR2	Atp5c1
240.2469868	P41251	Slc11a1
239.1908934	O88685	Psmc3
238.5414899	Q3UDW8	Hgsnat
238.2545142	Q8CDB0	Mknk2
238.1463659	Q91WD5	Ndufs2
235.7166457	Q62422	Ostf1
234.5171043	P25119	Tnfrsf1b
234.2234938	Q8VEM8	Slc25a3
233.4262258	O08807	Prdx4
232.7355253	Q9CQY6	Uqcc2
232.7028898	Q9EQ32	Pik3ap1
231.5665832	Q9WUQ5	Cxcl14
231.4246402	Q60765	Atf3
231.2602864	O08539	Bin1
