gene_id	bzsub_A_expr	bzsub_B_expr	bzsub_C_expr	bzsub_D_expr	bzsub_E_expr
TGME49_297720	0.08121227529	0.1284241336	0.1283520391	0.2399691921	0.07137774064
TGME49_221470	0.4006707092	0.2117999623	0.3558543483	0.3913362846	0.2593398467
TGME49_256788	0.007333479536	0	0	0	0
TGME49_244728	0.007302403613	0	0	0	0
TGME49_310177	0.007250834114	0	0	0	0
TGME49_258400	0.007082796233	0	0	0	0
TGME49_210100	0.007057768332	0	0	0	0
TGME49_275660	0.006777786162	0	0	0	0
TGME49_220025	0.006731669623	0	0	0	0
TGME49_205230	0.006571077285	0	0	0	0
TGME49_312540	0.006399605576	0	0	0	0
TGME49_320250	0.0063004875	0	0	0	0
TGME49_287990	0.006223015681	0	0	0	0
TGME49_460030	0.006138733781	0	0	0	0
TGME49_210460	0.005703073605	0	0	0	0
TGME49_322010	0.005164204075	0	0	0	0
TGME49_286070	0.1098905481	0.1546970033	0.1689308758	0.2795553225	0.05374502596
TGME49_227440	0.05465278055	0.09614477792	0.1202095593	0.1658021566	0.01424877635
TGME49_319320	0.06971529518	0.005096459376	0.02224577159	0.06655455188	0.1371451039
TGME49_299780	0.0992512184	0.3402199914	0.09109052158	0.04678451551	0.01512822308
TGME49_309110	0.07411845117	0.1289778403	0.1425421768	0.1580419673	0.06980747677
TGME49_294380	0.013758112	0.06337197055	0.0253420062	0.07003191663	0.04271001063
TGME49_321690	0.224365672	0.1205231541	0.1474355671	0.1854651251	0.2288027416
TGME49_265770	0.08867588425	0.02515633961	0.04109712684	0.06578686477	0.1391250948
TGME49_321640	0.01424041385	0.03839890643	0.06282467335	0.08696700055	0
TGME49_216050	0.01354190087	0.05285823323	0.04635601191	0.05394494461	0.02542053413
TGME49_217560	0.3395759152	0.5759600234	0.453948142	0.2773963743	0.09859827478
TGME49_222020	0	0.002229368992	0.02026714091	0.09132078214	0
TGME49_294880	0	0.01180794219	0.01664114904	0.06896146817	0.01316910259
TGME49_257380	1.097682151	1.05360143	0.6911389908	1.10209809	1.506147183
