gene_id	n_m6a_peaks
TGME49_306670	1
TGME49_293650	1
TGME49_295980	1
TGME49_293040	1
TGME49_290980	1
TGME49_299180	1
TGME49_289690	1
TGME49_289660	1
TGME49_289620	1
TGME49_289590	1
TGME49_289530	1
TGME49_289360	1
TGME49_289290	1
TGME49_288720	1
TGME49_288620	1
TGME49_288590	1
TGME49_288400	1
TGME49_288310	1
TGME49_320410	1
TGME49_264690	1
TGME49_320135	1
TGME49_230200	1
TGME49_231770	1
TGME49_232655	1
TGME49_262840	1
TGME49_263730	1
TGME49_263710	1
TGME49_263660	1
TGME49_263210	1
TGME49_263085	1
TGME49_262930	1
TGME49_262500	1
TGME49_259240	1
TGME49_262380	1
TGME49_261510	1
TGME49_261260	1
TGME49_260810	1
TGME49_260390	1
TGME49_260250	1
TGME49_264010	1
TGME49_264130	1
TGME49_255340	1
TGME49_256060	1
TGME49_256820	1
TGME49_257040	1
TGME49_257300	1
TGME49_258828	1
TGME49_261410	1
TGME49_261980	1
TGME49_262590	1
TGME49_262640	1
TGME49_262760	1
TGME49_263580	1
TGME49_223110	1
TGME49_263810	1
TGME49_281520	1
TGME49_260200	1
TGME49_259220	1
TGME49_273860	1
TGME49_236620	1
TGME49_225080	1
TGME49_224220	1
TGME49_223685	1
TGME49_234507	1
TGME49_235315	1
TGME49_235635	1
TGME49_237170	1
TGME49_259172	1
TGME49_215055	1
TGME49_215385	1
TGME49_215600	1
TGME49_215730	1
TGME49_228770	1
TGME49_228460	1
TGME49_225310	1
TGME49_225470	1
TGME49_225550	1
TGME49_225830	1
TGME49_228190	1
TGME49_255380	1
TGME49_255410	1
TGME49_255510	1
TGME49_221950	1
TGME49_255900	1
TGME49_256030	1
TGME49_257480	1
TGME49_258010	1
TGME49_258020	1
TGME49_258100	1
TGME49_258360	1
TGME49_222930	1
TGME49_201215	1
TGME49_211675	1
TGME49_201260	1
TGME49_271800	1
TGME49_233850	1
TGME49_274120	1
TGME49_273840	1
TGME49_273460	1
TGME49_271920	1
TGME49_271810	1
TGME49_271440	1
TGME49_201400	1
TGME49_271015	1
TGME49_270310	1
TGME49_270273	1
TGME49_269970	1
TGME49_269720	1
TGME49_269450	1
TGME49_233030	1
TGME49_232940	1
TGME49_232630	1
TGME49_232340	1
TGME49_232180	1
TGME49_232020	1
TGME49_297730	1
TGME49_230980	1
TGME49_229660	1
TGME49_229450	1
TGME49_229360	1
TGME49_229210	1
TGME49_268670	1
TGME49_269430	1
TGME49_270630	1
TGME49_271050	1
TGME49_272240	1
TGME49_269420	1
TGME49_269250	1
TGME49_268640	1
TGME49_304755	1
TGME49_201720	1
TGME49_201785	1
TGME49_202375	1
TGME49_202568	1
TGME49_202940	1
TGME49_203280	1
TGME49_203350	1
TGME49_204490	1
TGME49_205290	1
TGME49_205390	1
TGME49_205530	1
TGME49_297190	1
TGME49_323010	1
TGME49_206680	1
TGME49_280570	1
TGME49_268570	1
TGME49_201770	1
TGME49_202470	1
TGME49_202650	1
TGME49_204080	1
TGME49_204395	1
TGME49_204540	1
TGME49_205600	1
TGME49_206440	1
TGME49_280400	1
TGME49_200400	1
TGME49_200310	1
TGME49_297495	1
TGME49_268260	1
TGME49_268280	1
TGME49_302057	1
