Gene ID	Fold Change (Avg)	Avg Ref
TGME49_205550	-1.2	16.39
TGME49_205558	1.6	525.67
TGME49_205562	-2.3	6.86
TGME49_205570	2.1	25.18
TGME49_205580	1.5	60.11
TGME49_205590	46.4	0.15
TGME49_205600	-1	34.65
TGME49_205615	-1.5	8.02
TGME49_205625	-2.2	24.36
TGME49_205630	1	0.44
TGME49_205640	-2.4	73.39
TGME49_205650	-11.2	268.01
TGME49_205658	3.8	0.78
TGME49_205662	1.6	1.38
TGME49_205670	-2.4	193.98
TGME49_205680	-1.8	79.16
TGME49_205690	-1.9	109.7
TGME49_205700	1.9	3069.51
TGME49_205710	1.6	139.51
TGME49_205720	1.2	29.27
TGME49_205730	-3.3	55.56
TGME49_205740	-1.1	56.27
TGME49_205750	-2.1	98.37
TGME49_205760	1	0.04
TGME49_205770	-1.1	0.93
TGME49_206290	13.3	1.62
TGME49_206300	-1	20.27
TGME49_206310	1.2	28.43
TGME49_206320	1.2	95.89
TGME49_206330	-1.2	26.77
TGME49_206340	-1.3	130.27
TGME49_206350	4.6	118
TGME49_206360	1.1	28.87
TGME49_206380	-5.2	20.01
TGME49_206390	1.7	37.8
TGME49_206400	22.8	0.81
TGME49_206415	-2.7	35.48
TGME49_206430	-5.4	25.64
TGME49_206440	-2.7	0.67
TGME49_206450	-10.7	70.24
TGME49_206460	-10.2	22.07
TGME49_206470	1.7	168.22
TGME49_206480	1.2	187.87
TGME49_206490	-1.2	37.82
TGME49_206500	-1.5	18.52
TGME49_206510	-4.1	86.96
TGME49_206520	-1.7	1.04
TGME49_206540	-5.8	90.02
TGME49_206550	4.6	0.83
TGME49_206560	179.7	0
TGME49_206570	56.9	0.26
TGME49_206580	-1.1	6.43
TGME49_206590	-1.2	83.44
TGME49_206600	-1.5	28.28
TGME49_206610	-1.5	48.93
TGME49_206620	1136.3	0.08
TGME49_206630	-1.5	63.65
TGME49_206640	1.7	59.7
TGME49_206650	40.5	0.33
TGME49_206660	61.6	0.6
TGME49_206670	-1	61.43
TGME49_206680	1.1	53.88
TGME49_206690	-5.1	176.4
TGME49_206700	-1.3	49.73
TGME49_206710	-9.7	35.73
TGME49_206910	1	0.22
TGME49_207005	675.2	0.17
TGME49_207010	1262.1	0.24
TGME49_207015	134.1	1.29
TGME49_207020	1	21.23
TGME49_207040	-1.2	14.75
TGME49_207050	454.4	0.14
TGME49_207060	-1.7	323.63
TGME49_207065	-1.2	56.78
TGME49_207070	-1.8	33.97
TGME49_207080	-1.4	18.18
TGME49_207100	-1.7	22.37
TGME49_207120	1.1	5.78
TGME49_207130	-47.4	93.9
TGME49_207140	1.2	26.83
TGME49_207150	-3.4	103.75
TGME49_207160	-43.1	365.18
TGME49_207170	1.2	327.86
TGME49_207180	1.3	9.89
TGME49_207200	-1.3	13.88
TGME49_207210	-682.3	1392.71
TGME49_207230	-1.3	28.9
TGME49_207240	-1.9	192.45
TGME49_207250	621.8	0.07
TGME49_207350	-2.4	15.2
TGME49_207370	-1.3	71.01
TGME49_207390	-1.1	46.29
TGME49_207400	-1	36.23
TGME49_207403	4.1	0.59
TGME49_207420	1.3	181.1
TGME49_207430	-1.9	76.37
TGME49_207440	2.2	1667.2
TGME49_207450	1.3	56.71
TGME49_207460	-2	102.75
TGME49_207590	-4.3	40.82
TGME49_207600	-2.6	31.64
TGME49_207610	209.8	0.05
TGME49_207620	-2	179.14
TGME49_207630	-2.2	24.12
TGME49_207640	-1.6	92.86
TGME49_207650	-2.1	3.41
TGME49_207665	-2.3	19.38
TGME49_207680	1.5	155.69
TGME49_207690	1	103.08
TGME49_207700	9	1.42
TGME49_207710	1.2	85.68
TGME49_207720	1.1	22.21
TGME49_207730	1120.1	0.01
TGME49_207740	1.3	0
TGME49_207750	1.2	29.33
TGME49_207760	-1.3	61.6
TGME49_207770	1	162.25
TGME49_207780	1	0
