gene_id	gene_name	previous_ids	product
PF3D7_0113000	GARP	Previous IDs: MAL1P3.06;PFA0620c	glutamic acid-rich protein GARP
PF3D7_0113100	SURF1.1	Previous IDs: MAL1P3.07;PFA0625w	surface-associated interspersed protein 1.1 (SURFIN 1.1)
PF3D7_0113200	N/A	Previous IDs: MAL1P3.08;PFA0630c	Plasmodium exported protein, unknown function
PF3D7_0113300	N/A	Previous IDs: MAL1P3.09;PFA0635c	Plasmodium exported protein (hyp1), unknown function
PF3D7_0113400	N/A	Previous IDs: MAL1P3.10;PFA0640c	Plasmodium exported protein, unknown function
PF3D7_0113600	SURF1.2	Previous IDs: 3D7surf1.2;MAL1P12a;MAL1P3.12;MAL1P3.12a;PFA0650w;PFA0655;PFA0655w	surface-associated interspersed protein 1.2 (SURFIN 1.2), pseudogene
PF3D7_0113700	HSP40	Previous IDs: MAL1P4.10;PFA0660w	heat shock protein 40, type II
PF3D7_0113800	N/A	Previous IDs: MAL1P4.11;PFA0665w	DBL containing protein, unknown function
PF3D7_0113900	CBP1	Previous IDs: MAL1P4.12;PFA0670c	CX3CL1-binding protein 1
PF3D7_0114000	EPF1	Previous IDs: MAL1P4.13;PFA0675w	exported protein family 1
PF3D7_0114100	MC-2TM	Previous IDs: MAL1P4.14;PFA0680c	Pfmc-2TM Maurer's cleft two transmembrane protein
PF3D7_0114200	EPF3	Previous IDs: MAL1P4.15;PFA0685c	exported protein family 3
PF3D7_0114300	EPF4	Previous IDs: MAL1P4.16;PFA0690w	exported protein family 4, pseudogene
PF3D7_0114400	VAR	Previous IDs: MAL1P4.16c;PFA0695c	erythrocyte membrane protein 1 (PfEMP1), exon 2, pseudogene
PF3D7_0114500	N/A	Previous IDs: MAL1P4.16d;PFA0700c	Plasmodium exported protein (hyp10), unknown function
PF3D7_0114600	N/A	Previous IDs: MAL1P4.16e;PFA0705c	stevor, pseudogene
PF3D7_0114700	RIF	Previous IDs: MAL1P4.17;PFA0710c	rifin
PF3D7_0114750	N/A	N/A	Plasmodium exported protein, unknown function, fragment
PF3D7_0114800	N/A	Previous IDs: MAL1P4.19;PFA0715c	Plasmodium exported protein (hyp7), unknown function
PF3D7_0114900	N/A	Previous IDs: MAL1P4.20;PFA0720w	Plasmodium exported protein, unknown function, pseudogene
PF3D7_0115000	SURF1.3	Previous IDs: 3D7surf1.3;MAL1P4.21;PFA0725w	surface-associated interspersed protein 1.3 (SURFIN 1.3)
PF3D7_0115050	N/A	N/A	H/ACA snoRNA
PF3D7_0115100	N/A	Previous IDs: MAL1P4.22;PFA0735w	Plasmodium exported protein (PHISTa), unknown function
PF3D7_0115150	N/A	N/A	Plasmodium exported protein, unknown function, pseudogene
PF3D7_0115200	RIF	Previous IDs: MAL1P4.23;PFA0740w	rifin
PF3D7_0115300	RIF	Previous IDs: MAL1P4.25;PFA0745w	rifin
PF3D7_0115400	N/A	Previous IDs: MAL1P4.26;PFA0750w	stevor
PF3D7_0115500	N/A	Previous IDs: PFA0755w	erythrocyte membrane protein 1 (PfEMP1), pseudogene
PF3D7_0115600	RIF	Previous IDs: MAL1P4.28;PFA0760w	rifin
PF3D7_0115700	VAR	Previous IDs: MAL1P4.29;PFA0765c	erythrocyte membrane protein 1, PfEMP1
PF3D7_0200100	VAR	Previous IDs: PF02_0001;PFB0010w	erythrocyte membrane protein 1, PfEMP1
PF3D7_0200200	RIF	Previous IDs: PF02_0002;PFB0015c	rifin
