Gene ID	Score
TGME49_200450	34.5205
TGME49_318880	3.5143
TGME49_500336	5.9084
TGME49_227080	37.095
TGME49_223668	32.0715
TGME49_215400	24.5196
TGME49_280550	82.9392
TGME49_304480	76.6937
TGME49_320180	23.7228
TGME49_319390	21.1298
TGME49_210781	30.8596
TGME49_221440	23.0173
TGME49_241010	70.3508
TGME49_242370	5.0337
TGME49_291300	44.5576
TGME49_266100	48.5722
TGME49_306050	8.272
TGME49_239740	96.0332
TGME49_242290	39.1529
TGME49_293240	19.2307
TGME49_217890	42.5491
TGME49_308860	66.1593
TGME49_262640	30.3973
TGME49_258350	40.7072
TGME49_256788	14.2037
TGME49_255670	39.9697
TGME49_217830	36.6459
TGME49_500137	11.7577
TGME49_253090	39.2482
TGME49_253300	20.9025
TGME49_230905	16.9969
TGME49_231780	31.2245
TGME49_313580	26.3538
TGME49_261030	41.9527
TGME49_260240	78.5278
TGME49_231800	10.46
TGME49_500018	6.7866
TGME49_207980	14.9626
TGME49_500307	29.6667
TGME49_208090	52.2671
TGME49_203050	22.5398
TGME49_282000	10.8585
TGME49_211040	27.1922
TGME49_210960	16.7561
TGME49_301000	44.0591
TGME49_319890	62.4463
TGME49_318710	38.3194
TGME49_238960	6.9746
TGME49_240050	18.5535
TGME49_288890	6.1275
TGME49_305600	55.5397
TGME49_210408	55.5402
TGME49_306380	42.3993
TGME49_244520	31.989
TGME49_277070	81.5455
TGME49_285240	63.2822
TGME49_310830	4.3319
TGME49_312622	42.9896
TGME49_258390	39.2619
TGME49_256780	14.2037
TGME49_252395	3.5324
TGME49_253410	54.9663
TGME49_299030	65.9784
TGME49_229630	112.3078
TGME49_232680	46.4984
TGME49_272630	36.7998
TGME49_232280	26.8501
TGME49_233470	25.5285
TGME49_500196	3.698
TGME49_500176	59.1709
TGME49_269140	54.1857
TGME49_225050	39.8752
TGME49_215300	36.8067
TGME49_205680	117.1
TGME49_202420	33.4368
TGME49_282200	4.5899
TGME49_320550	37.2617
TGME49_267875	31.5371
TGME49_294330	17.4068
TGME49_278620	46.8087
TGME49_220090	36.9862
TGME49_220170	37.5842
TGME49_500391	5.9271
TGME49_283450	18.5037
TGME49_311410	19.3157
TGME49_217520	62.4212
TGME49_246178	37.8097
TGME49_277870	46.0269
TGME49_277500	60.9987
TGME49_254910	28.5078
TGME49_310750	29.9974
TGME49_311040	50.0372
TGME49_269950	52.021
TGME49_200240	13.4302
TGME49_264060	21.2791
TGME49_269000	35.8812
TGME49_226985	25.7175
TGME49_237020	68.9217
TGME49_237000	38.6902
TGME49_202690	42.501
