gene_id	febrile_phospho_max_abs_log2fc	febrile_phospho_n_sites_up	febrile_phospho_n_sites_down
PF3D7_0714300	0.416588	0	0
PF3D7_0714500	0.245742	0	0
PF3D7_0714600	0.880273	0	0
PF3D7_0715200	0.258613	0	0
PF3D7_0715900	0.269238	0	0
PF3D7_0716000	0.641593	0	0
PF3D7_0716100	0.193209	0	0
PF3D7_0716200	0.144872	0	0
PF3D7_0716300	0.300173	0	0
PF3D7_0716400	0.136332	0	0
PF3D7_0717100	0.321632	0	0
PF3D7_0717300	0.326653	0	0
PF3D7_0717400	0.229578	0	0
PF3D7_0717500	0.359902	0	0
PF3D7_0717700	0.467192	0	0
PF3D7_0718100	0.354948	0	0
PF3D7_0718500	0.086688	0	0
PF3D7_0719300	0.551968	0	0
PF3D7_0719700	0.681883	0	0
PF3D7_0719900	0.812657	0	0
PF3D7_0720700	0.635782	0	0
PF3D7_0721000	0.328123	0	0
PF3D7_0721100	0.0769176	0	0
PF3D7_0721200	0.141808	0	0
PF3D7_0721600	0.640471	0	0
PF3D7_0721800	0.229107	0	0
PF3D7_0722300	0.0103369	0	0
PF3D7_0722400	0.137082	0	0
PF3D7_0722500	0.209468	0	0
PF3D7_0722600	0.303738	0	0
PF3D7_0723300	0.0936728	0	0
PF3D7_0723400	0.506767	0	0
PF3D7_0723800	0.682992	0	0
PF3D7_0723900	0.365619	0	0
PF3D7_0724000	0.215672	0	0
PF3D7_0724100	0.391688	0	0
PF3D7_0724200	0.662622	0	0
PF3D7_0724600	0.0597267	0	0
PF3D7_0724700	0.948888	0	0
PF3D7_0724800	0.0995722	0	0
PF3D7_0725000	0.540212	0	0
PF3D7_0725100	0.151307	0	0
PF3D7_0726100	1.13651	1	0
PF3D7_0726400	0.500217	0	0
PF3D7_0726500	0.638152	0	0
PF3D7_0727000	0.314803	0	0
PF3D7_0727400	0.364477	0	0
PF3D7_0727800	0.119962	0	0
PF3D7_0727900	0.141272	0	0
PF3D7_0728000	0.364283	0	0
PF3D7_0728600	0.377522	0	0
PF3D7_0728900	0.079463	0	0
PF3D7_0729100	1.03031	0	1
PF3D7_0729300	0.380423	0	0
PF3D7_0729400	0.642021	0	0
PF3D7_0729500	0.301823	0	0
PF3D7_0730300	0.583158	0	0
PF3D7_0730500	0.747169	0	0
PF3D7_0730800	0.990157	0	0
PF3D7_0730900	1.17181	1	0
PF3D7_0731100	2.1387	9	0
PF3D7_0731300	0.456193	0	0
PF3D7_0801000	1.68887	1	0
PF3D7_0801500	0.0531025	0	0
PF3D7_0801700	0.450328	0	0
PF3D7_0801800	0.677517	0	0
PF3D7_0802000	0.268498	0	0
PF3D7_0802300	0.00716782	0	0
PF3D7_0802400	0.233323	0	0
PF3D7_0802600	0.664523	0	0
PF3D7_0802700	0.0972424	0	0
PF3D7_0803000	0.0241375	0	0
PF3D7_0803100	0.468008	0	0
PF3D7_0803400	0.110827	0	0
PF3D7_0803600	0.153802	0	0
PF3D7_0804000	0.388792	0	0
PF3D7_0804300	0.451422	0	0
PF3D7_0804500	0.440442	0	0
PF3D7_0804600	0.0476122	0	0
PF3D7_0804900	0.145218	0	0
PF3D7_0805400	0.433033	0	0
PF3D7_0805500	0.301782	0	0
PF3D7_0805700	0.863682	0	0
PF3D7_0805900	0.197872	0	0
PF3D7_0806000	0.322567	0	0
PF3D7_0806100	0.398503	0	0
PF3D7_0806500	0.254208	0	0
PF3D7_0806700	0.425868	0	0
PF3D7_0806800	0.393137	0	0
PF3D7_0807100	0.0187922	0	0
PF3D7_0807200	1.41112	1	0
PF3D7_0807600	0.846482	0	0
PF3D7_0807800	0.588778	0	0
PF3D7_0807900	0.374882	0	0
PF3D7_0808100	0.221632	0	0
PF3D7_0808300	0.587623	0	0
PF3D7_0808600	0.0872717	0	0
PF3D7_0809200	0.930242	0	0
PF3D7_0809500	0.109713	0	0
PF3D7_0809600	0.253527	0	0
PF3D7_0809900	0.347742	0	0
PF3D7_0810300	0.418332	0	0
PF3D7_0810600	0.623933	0	0
PF3D7_0811000	0.0536079	0	0
PF3D7_0811200	0.719393	0	0
PF3D7_0811300	0.256867	0	0
PF3D7_0811400	0.0294113	0	0
PF3D7_0811500	0.139613	0	0
PF3D7_0812100	0.354487	0	0
PF3D7_0812500	0.722793	0	0
PF3D7_0812600	0.883773	0	0
PF3D7_0812700	0.565942	0	0
PF3D7_0813000	0.653342	0	0
PF3D7_0813300	0.713063	0	0
PF3D7_0813400	0.192982	0	0
PF3D7_0813500	0.294413	0	0
PF3D7_0813600	0.440298	0	0
PF3D7_0814000	0.554728	0	0
PF3D7_0814200	0.521338	0	0
PF3D7_0814300	0.227712	0	0
PF3D7_0814500	0.279458	0	0
PF3D7_0815600	0.236081	0	0
PF3D7_0815800	0.622897	0	0
PF3D7_0816000	0.0319519	0	0
PF3D7_0817300	0.451167	0	0
PF3D7_0817500	0.338762	0	0
PF3D7_0817900	0.399387	0	0
PF3D7_0818000	0.691758	0	0
PF3D7_0818200	0.891212	0	0
PF3D7_0818500	0.0036478	0	0
PF3D7_0818700	0.350942	0	0
PF3D7_0818900	0.936913	0	0
PF3D7_0819000	0.247528	0	0
PF3D7_0819500	0.139482	0	0
PF3D7_0819600	0.218758	0	0
PF3D7_0820000	0.514194	0	0
PF3D7_0820200	0.507762	0	0
PF3D7_0820500	0.438007	0	0
PF3D7_0820900	0.407251	0	0
PF3D7_0821000	0.412732	0	0
PF3D7_0821100	0.447268	0	0
PF3D7_0821300	0.0576468	0	0
PF3D7_0821400	0.292068	0	0
PF3D7_0821500	0.200652	0	0
PF3D7_0821800	0.213552	0	0
PF3D7_0822900	0.729538	0	0
PF3D7_0823000	0.317478	0	0
PF3D7_0823200	0.782396	0	0
PF3D7_0823300	0.287843	0	0
PF3D7_0823800	0.199118	0	0
PF3D7_0824400	0.741858	0	0
PF3D7_0824600	0.128318	0	0
PF3D7_0824800	0.413413	0	0
PF3D7_0824900	0.325059	0	0
PF3D7_0825000	0.440877	0	0
PF3D7_0825300	0.155593	0	0
PF3D7_0825500	0.492048	0	0
PF3D7_0826100	0.353558	0	0
PF3D7_0826500	0.368247	0	0
PF3D7_0826700	0.834097	0	0
PF3D7_0826900	0.243564	0	0
PF3D7_0827000	0.612838	0	0
PF3D7_0827300	0.438387	0	0
PF3D7_0827800	0.236947	0	0
PF3D7_0827900	0.400997	0	0
PF3D7_0828300	0.301893	0	0
PF3D7_0828500	0.0683222	0	0
PF3D7_0829000	0.377772	0	0
PF3D7_0829100	0.277892	0	0
PF3D7_0829400	0.395407	0	0
PF3D7_0830500	0.373413	0	0
PF3D7_0830600	0.210312	0	0
PF3D7_0831000	0.792268	0	0
PF3D7_0831300	0.207888	0	0
PF3D7_0831400	0.319138	0	0
PF3D7_0831500	0.0831223	0	0
PF3D7_0831600	0.353573	0	0
PF3D7_0831700	1.11934	1	0
PF3D7_0902200	0.351461	0	0
