gene_id	surface_apicoplast_log2fc	surface_apicoplast_stringent	surface_mitochondrion_log2fc	surface_mitochondrion_stringent	surface_er_log2fc	surface_er_stringent
TGME49_262390	5.523561956	1	5.544320516	1	5.718818247	0
TGME49_262450	1.415037499	0				
TGME49_262620	2	0	2.115477217	0	2.662965013	0
TGME49_262660	4.058893689	1				
TGME49_262670	1	0	0.1520030934	0	1.938599455	0
TGME49_262990	3.14974712	1				
TGME49_263090	1.184424571	0	1.700439718	0	1.823122238	0
TGME49_263320	1.137503524	0	0.6280312226	0	1.321928095	0
TGME49_263520	0.4545658635	0	0.9328858041	0	0.8804183842	0
TGME49_263700	0.2410080995	0	0.09953567355	0	1	0
TGME49_264080	2.070389328	0				
TGME49_264090	2.662965013	0				
TGME49_264900	1.222392421	0				
TGME49_265840	2.115477217	0			5.273018494	0
TGME49_266640	4.415037499	0	4.68182404	0	4.437405312	0
TGME49_266760	2.502500341	0	2.222392421	0	2.222392421	0
TGME49_266960	0.588804567	0	0.556011127	0	0.9154664898	0
TGME49_267050	1.874469118	0			2.222392421	0
TGME49_267100	2.415037499	1				
TGME49_267500	0.2141248054	0	0.5849625007	0	0.6951454185	0
TGME49_267510	4.36923381	1			1.454565863	1
TGME49_267800	5.502500341	1	4.906890596	1	2.222392421	0
TGME49_267840	3.415037499	1				
TGME49_268330	3.321928095	0				
TGME49_268430	5.142957954	1				
TGME49_268630	3.544320516	0			3.263034406	0
TGME49_268950	1.584962501	0			3.64385619	0
TGME49_269180	2.415037499	0	1.874469118	0	2.115477217	0
TGME49_269190	1.650550842	0	3.874469118	0	1.459431619	0
TGME49_269390	2.415037499	1				
TGME49_269410	4.169925001	0	4	0	3.544320516	0
TGME49_269885	0.8171359429	0	1.381870635	0	1.244622369	0
TGME49_270240	3	0				
TGME49_270510	2.584962501	0	2.263034406	0	2.662965013	0
TGME49_270530	3.502500341	1	3.115477217	0	3.222392421	0
TGME49_271440	2.222392421	0			2.222392421	0
TGME49_271930	0.6300503902	0	0.6244908649	0	1.127111918	0
TGME49_272290	2.662965013	0				
TGME49_272640	3.969626351	1	3.459431619	0	2.938599455	0
TGME49_272695	2.807354922	1				
TGME49_272910	1.415037499	0			2.938599455	0
TGME49_273370	1.222392421	0				
TGME49_273560	2.099535674	0	2.230297619	0	1.540568381	0
TGME49_273760	1.351074441	0	1.650764559	0	2.057551023	0
TGME49_273800	5.437405312	1	4.297680549	0	3.544320516	0
TGME49_273960	3.058893689	0				
TGME49_274060	1.415037499	0			1.584962501	0
TGME49_274130	2.938599455	1				
TGME49_275350	4.984893108	0	3.874469118	0	3.36923381	0
TGME49_275690	4.029747343	0				
TGME49_278780	2.273018494	0	2.129283017	0	1.054447784	0
TGME49_278830	3.169925001	0			2.584962501	0
TGME49_278870	3.491853096	0	3.124695747	0	2.584962501	0
TGME49_279360	4.459431619	1				
TGME49_280370	1.584962501	0	4.196397213	1	2.632268215	0
TGME49_280610	1.736965594	1			5.183221824	0
TGME49_280740	2.722466024	1				
TGME49_281980	1.415037499	0			4.142957954	1
TGME49_283850	3.700439718	0	4.718818247	0	4.874469118	0
TGME49_284560	1.485426827	0	0.6520766966	0	1.64385619	0
TGME49_285500	5.824428435	1	3	0	2.831400396	0
TGME49_286420	1.072149786	0	1.48112669	0	1.722466024	0
TGME49_286520	2.502500341	1				
TGME49_286580	1.172060746	0	1.488499661	0	1.263034406	0
TGME49_286590	1.584962501	0	1.823122238	0	0.8073549221	0
TGME49_286600	0.2713020218	0	0.5682837596	0	0.5849625007	0
TGME49_286630	3.115477217	0	1.192645078	0	2	0
TGME49_287500	2.807354922	0	3.502500341	0	3.058893689	0
TGME49_287970	2.938599455	0				
TGME49_288380	2	0	2.222392421	0	3.169925001	0
TGME49_288600	4.906890596	1			2.222392421	0
TGME49_288650	3.169925001	0	2.807354922	0		
TGME49_288720	0.6780719051	0	0.1634987323	0	0.6100534817	0
TGME49_288800	3.624490865	0	3.459431619	0	3.459431619	0
TGME49_288940	4.938599455	1				
TGME49_289070	6.007494537	1				
TGME49_289080	5.745954377	1				
TGME49_289530	0.1926450779	0	1.874469118	0	0.7369655942	0
TGME49_289650	2.807354922	0	3.321928095	0	3.662965013	0
TGME49_289680	4.824428435	1	4.718818247	1	4.772589504	0
TGME49_289750	0.6780719051	0	1	0	2.146841388	0
TGME49_289970	2.662965013	1			3.807354922	1
TGME49_290160	3.736965594	1			4.196397213	0
TGME49_290670	2.321928095	0	2.874469118	1	2.584962501	0
TGME49_290950	1.874469118	0	1.584962501	0		
TGME49_291120	2	0				
TGME49_291180	8.173260714	1	8.227214805	1	7.607330314	0
TGME49_291880	0.7369655942	0	2.321928095	0	0.7004397181	0
TGME49_291940	1.280107919	1				
TGME49_292020	4.95419631	1			6.392317423	0
TGME49_292130	0.4436066515	0	0	0	0.3119440063	0
TGME49_292950	1.415037499	0	4.345774837	0	0.7004397181	0
