gene_id	chromprox_hp1_log2fc	chromprox_hp1_hit	chromprox_h3k27ac_log2fc	chromprox_h3k27ac_hit	chromprox_h3k4me3_log2fc	chromprox_h3k4me3_hit	chromprox_centromere_log2fc	chromprox_centromere_hit
PF3D7_0517700	-0.195463	0	-0.122215	0	-0.102425	0	-0.0331667	0
PF3D7_1417200	-0.884853	0	-0.731563	0	-0.0536124	0	-0.82634	0
PF3D7_0606700	-0.148586	0	-0.232404	0	0.0959447	0	-0.373631	0
PF3D7_0610900	0.0523777	0	0.737967	0	0.444729	0	0.619282	0
PF3D7_0617200	-0.758978	0	-0.666827	0	-0.0734736	0	-0.24791	0
PF3D7_1366900	-1.47538	0	-1.64436	0	-0.359744	0	-0.571372	0
PF3D7_0202400	-0.852125	0	-0.792538	0	0.0118821	0	0.0379468	0
PF3D7_0930300	-0.859836	0	-0.729282	0	-0.247895	0	0.011442	0
PF3D7_1136000	0.297406	0	-1.36449	0	0.0504373	0	-0.796332	0
PF3D7_1351700	-0.953547	0	-1.15884	0	-0.0981255	0	-1.00772	0
PF3D7_0212400	-0.0780996	0	0.121785	0	-0.0479336	0	-0.210828	0
PF3D7_1212900	0.855525	0	2.7311	1	1.39025	1	0.407111	0
PF3D7_1221000	-0.0153402	0	2.12294	1	0.898254	1	0.356713	0
PF3D7_1249300	3.22462	1	0.729301	0	0.333164	0	0.733385	0
PF3D7_0922500	-0.140018	0	-0.322887	0	-0.172153	0	-0.0699142	0
PF3D7_0936800	-0.668803	0	-0.514278	0	-0.096323	0	-0.190671	0
PF3D7_0810600	-0.571447	0	-0.598433	0	-0.00174586	0	-0.416868	0
PF3D7_1472200	0.466988	0	0.774323	0	0.391029	0	0.392443	0
PF3D7_0307700	-0.51077	0	-0.619466	0	-0.0343374	0	2.35086	1
PF3D7_1339700	0.815888	0	-0.618598	0	-0.192507	0	-0.668031	0
PF3D7_1437900	-0.204991	0	0.130111	0	-0.122868	0	-0.147946	0
PF3D7_0317200	0.475085	0	0.642884	0	0.428282	0	0.577824	0
PF3D7_1445900	-0.476826	0	-0.334707	0	0.00295703	0	-0.00153003	0
PF3D7_1316900	3.0044	1	2.6847	1	1.25317	1	0.130674	0
PF3D7_0606600	-0.890506	0	-0.858981	0	-0.369751	0	-1.0277	0
PF3D7_1138000	-0.443413	0	-1.16824	0	-0.134307	0	-1.21525	0
PF3D7_1443400	3.50526	1	1.69833	1	0.710665	0	0.65856	0
PF3D7_0912000	4.48338	1	1.38682	0	1.52778	0		
PF3D7_0707400	-0.30905	0	-0.349016	0	-0.250231	0		
PF3D7_0935800	0.145227	0	0.301182	0	0.053477	0	-0.0955816	0
PF3D7_1025000	0.374477	0	-0.813269	0	-0.234921	0	-0.839571	0
PF3D7_1429900	1.29734	0	0.505901	0	0.361222	0	0.787039	0
PF3D7_1312900	-0.819147	0	-0.591681	0	-0.0837943	0	-0.934145	0
PF3D7_1408200	3.36609	1	0.969961	0	0.411738	0	0.410217	0
PF3D7_1128000	0.237099	0	2.65439	1	1.22189	1	0.448485	0
PF3D7_0104300	0.307505	0	-0.288415	0	-0.205728	0	-0.708417	0
PF3D7_1134000	-0.665376	0	-0.7779	0	-0.249238	0	-0.0185479	0
PF3D7_1239700	-0.398371	0	-0.116003	0	-0.300536	0		
PF3D7_1207000	-0.758899	0	-0.92507	0	-0.235503	0	0.28891	0
PF3D7_1462800	0.0278257	0	-0.320469	0	-0.25145	0	0.0325882	0
PF3D7_0105800	0.760596	0	0.562212	0	0.37103	0	0.683527	0
PF3D7_1334100	3.20581	1	1.24947	0	0.480151	0		
PF3D7_1325100	-0.182117	0	-0.506296	0	-0.0910575	0	-0.071616	0
PF3D7_1447900	-0.257468	0	-0.0934029	0	-0.000895818	0	-0.635851	0
PF3D7_1417800	0.83152	0	0.448416	0	-0.0430272	0	0.145195	0
PF3D7_0414000	0.0245043	0	1.41653	0	0.474807	0		
PF3D7_1329500	1.65196	1	0.499902	0	0.125708	0	0.403453	0
PF3D7_0506900	-0.125898	0	-0.160969	0	-0.154763	0	-0.852547	0
PF3D7_1319400	2.3137	1	1.02778	0	0.220708	0		
PF3D7_1364100	0.210262	0	-0.0110817	0	-0.249496	0		
PF3D7_0111400	0.222881	0	0.46758	0	0.18373	0	0.855821	0
PF3D7_1211900	-0.220689	0	-0.121058	0	-0.172296	0	-0.209338	0
PF3D7_0818200	0.579538	0	0.186986	0	0.0190748	0	0.0546144	0
PF3D7_0922200	-0.0405636	0	-0.317668	0	-0.185268	0	-0.103862	0
PF3D7_0922100	-0.192197	0	-0.404548	0	-0.00657336	0	-0.649083	0
PF3D7_1452000	-0.276281	0	-0.0446434	0	-0.0679843	0	0.0456035	0
PF3D7_1223400	-0.152315	0	0.0351117	0	0.176394	0	-0.332165	0
PF3D7_1027800	0.0847454	0	0.0810947	0	0.319381	0	0.0302571	0
PF3D7_1141300	-0.335389	0	-0.539546	0	-0.224925	0	-0.812819	0
PF3D7_1449400	4.42087	1	2.54991	1			0.580005	0
PF3D7_0607000	-0.382444	0	-0.332492	0	0.00809034	0	-0.619988	0
PF3D7_0926100	-0.655553	0	-0.612097	0	0.0598354	0	-0.0845554	0
PF3D7_0219600	0.584598	0	0.706483	0	0.194957	0	0.662803	0
PF3D7_1435600	-0.585268	0	-0.971907	0	-0.153896	0	-1.08366	0
PF3D7_0705400	1.10425	0	0.588744	0	0.149319	0	-0.00612957	0
PF3D7_0711500	-0.188927	0	0.168026	0	0.0299822	0	0.227152	0
PF3D7_1003800	-0.0776304	0	0.127704	0	-0.201245	0	0.229958	0
PF3D7_1245100	0.478118	0	0.149483	0	0.138763	0	0.289402	0
PF3D7_0827900	0.505908	0	-0.0500132	0	-0.110846	0	-0.0321922	0
PF3D7_0310500	0.0542914	0	0.282572	0	0.127623	0	-0.00705518	0
PF3D7_0817700	0.289943	0	0.401759	0	0.242746	0	-0.0190061	0
PF3D7_1445700	-0.658464	0	-0.322098	0	-0.105743	0	-0.352375	0
PF3D7_1366300	-0.29361	0	0.470104	0	0.179635	0	0.703869	0
PF3D7_0626800	-0.318447	0	-0.250814	0	-0.296268	0	-0.0397051	0
PF3D7_1405900	0.154239	0	0.198273	0	0.0540504	0		
PF3D7_0507100	0.137424	0	0.157445	0	0.281987	0	0.142411	0
PF3D7_1343300	0.278615	0	0.327204	0	0.34113	0	0.385332	0
PF3D7_1464900	-0.21319	0	-0.315301	0	-0.192099	0		
