gene_id	pvm_proximity_positive
TGME49_305190	0.0
TGME49_305240	0.0
TGME49_305320	0.0
TGME49_305340	0.0
TGME49_305450	0.0
TGME49_305460	0.0
TGME49_305480	0.0
TGME49_305520	0.0
TGME49_305560	0.0
TGME49_305770	0.0
TGME49_305780	0.0
TGME49_305800	0.0
TGME49_305820	0.0
TGME49_305850	0.0
TGME49_305860	0.0
TGME49_305870	0.0
TGME49_305930	0.0
TGME49_305940	0.0
TGME49_305980	0.0
TGME49_306030	0.0
TGME49_306040	0.0
TGME49_306210	0.0
TGME49_306290	0.0
TGME49_306380	0.0
TGME49_306460	0.0
TGME49_306540	0.0
TGME49_306600	0.0
TGME49_306610	0.0
TGME49_306930	0.0
TGME49_306960	0.0
TGME49_306970	0.0
TGME49_307610	0.0
TGME49_307850	0.0
TGME49_308580	0.0
TGME49_308840	0.0
TGME49_308920	0.0
TGME49_309010	0.0
TGME49_309140	0.0
TGME49_309200	0.0
TGME49_309210	0.0
TGME49_309265	0.0
TGME49_309370	0.0
TGME49_309570	0.0
TGME49_309580	0.0
TGME49_309590	1.0
TGME49_309740	0.0
TGME49_309760	1.0
TGME49_309800	0.0
TGME49_309820	0.0
TGME49_309930	1.0
TGME49_309950	0.0
TGME49_310040	0.0
TGME49_310050	0.0
TGME49_310060	0.0
TGME49_310100	0.0
TGME49_310130	0.0
TGME49_310290	0.0
TGME49_310380	0.0
TGME49_310460	0.0
TGME49_310490	0.0
TGME49_310640	0.0
TGME49_310670	0.0
TGME49_310780	1.0
TGME49_310820	0.0
TGME49_310900	0.0
TGME49_310950	0.0
TGME49_311090	0.0
TGME49_311110	0.0
TGME49_311160	0.0
TGME49_311310	0.0
TGME49_311360	0.0
TGME49_311400	0.0
TGME49_311410	0.0
TGME49_311430	0.0
TGME49_311480	0.0
TGME49_311680	0.0
TGME49_311690	0.0
TGME49_311870	0.0
TGME49_312050	0.0
TGME49_312090	0.0
TGME49_312100	0.0
TGME49_312200	0.0
