gene_id	gametocyte_proteome_log2	gametocyte_newly_made
PF3D7_0511700	15.50418484	0
PF3D7_0511800	20.33090011	0
PF3D7_0512000	18.02975273	1
PF3D7_0512200	17.12861532	1
PF3D7_0512300	14.21296495	0
PF3D7_0512600	19.10323572	0
PF3D7_0512700	16.54386205	1
PF3D7_0512900	15.0054959	0
PF3D7_0513000	19.33213054	1
PF3D7_0513200	13.0739513	0
PF3D7_0513300	19.79636815	0
PF3D7_0513600	14.01064465	0
PF3D7_0513700	20.60264752	0
PF3D7_0513800	18.56896428	1
PF3D7_0514000	15.61531831	0
PF3D7_0514200	14.09309289	1
PF3D7_0514600	14.08117549	0
PF3D7_0514700	16.19893033	0
PF3D7_0515000	14.71305709	0
PF3D7_0515100	13.33272518	0
PF3D7_0515600	17.92312434	0
PF3D7_0515700	20.69096022	0
PF3D7_0515800	14.63565767	1
PF3D7_0516200	20.13469036	0
PF3D7_0516400	17.13052699	1
PF3D7_0516700	16.20120756	1
PF3D7_0516800	12.74060648	0
PF3D7_0516900	18.15945091	0
PF3D7_0517000	19.40644032	0
PF3D7_0517300	16.86347568	1
PF3D7_0517400	17.99639625	0
PF3D7_0517500	14.93481809	1
PF3D7_0517600	15.56774321	0
PF3D7_0517700	17.35968666	1
PF3D7_0517900	17.3133968	0
PF3D7_0518200	18.24778229	0
PF3D7_0518300	19.49693958	1
PF3D7_0518500	14.26210708	0
PF3D7_0518600	14.703298	1
PF3D7_0518700	16.25187686	1
PF3D7_0519000	14.90121732	0
PF3D7_0519400	17.01284638	0
PF3D7_0519600	12.19411866	0
PF3D7_0519700	15.74084273	0
PF3D7_0519800	11.87582101	0
PF3D7_0520000	19.40306474	0
PF3D7_0520100	12.27374607	0
PF3D7_0520200	14.7611495	0
PF3D7_0520300	18.18917948	0
PF3D7_0520400	15.9364194	1
PF3D7_0520500	13.82238826	1
PF3D7_0520600	16.73967339	1
PF3D7_0520900	18.5406679	0
PF3D7_0521700	15.71522738	1
PF3D7_0521800	15.51916322	0
PF3D7_0521900	15.3758404	0
PF3D7_0522100	14.81309308	1
PF3D7_0522200	11.54832744	0
PF3D7_0522300	13.25904146	0
PF3D7_0522600	17.18365476	0
PF3D7_0522800	16.49914724	1
