gene_id	sexual_stage_8dpi_log2fc
TGME49_203380	-1.42953143956669
TGME49_203390	3.80117647199012
TGME49_203400	1.40904848329781
TGME49_203450	-0.584283259728034
TGME49_203480	-3.23596345657504
TGME49_203490	-3.09818502026433
TGME49_203510	-1.73533562463281
TGME49_203540	6.11123337259347
TGME49_203600	-2.54461413402376
TGME49_203610	-0.911275335665858
TGME49_203620	-1.9719292704535
TGME49_203700	1.35370505345085
TGME49_203720	6.5152078919411
TGME49_203730	-1.41565721683853
TGME49_203740	4.65992626099894
TGME49_203750	-2.8182530032571
TGME49_203760	-1.25441352300159
TGME49_203780	-0.959548078354877
TGME49_203790	9.36084273749731
TGME49_203810	1.51204707536162
TGME49_203820	5.49504894034104
TGME49_203840	-1.68328837047197
TGME49_203860	-2.5534386859511
TGME49_203870	-0.460456215235467
TGME49_203880	11.876297352444
TGME49_203910	3.02965572599199
TGME49_203930	11.9606008610672
TGME49_203940	-7.80629951804534
TGME49_203950	-0.406937192727872
TGME49_203960	-0.930531707960171
TGME49_203970	-3.79899752974881
TGME49_203980	-0.565890846687284
TGME49_204000	-8.06128009431766
TGME49_204010	-10.0912561737966
TGME49_204055	0.468272401764481
TGME49_204070	0.348195550250325
TGME49_204080	3.91486412403974
TGME49_204100	0.996440323289022
TGME49_204110	-1.08719895947526
TGME49_204120	-1.33608326365225
TGME49_204150	1.911319180229
TGME49_204160	-0.910395904022551
TGME49_204270	0.263963659705088
TGME49_204280	0.934738356770892
TGME49_204310	0.166831438683095
TGME49_204315	2.08497667459059
TGME49_204320	4.2542159818086
TGME49_204340	13.378740679536
TGME49_204370	0.1406498670417
TGME49_204400	-1.12497843636658
TGME49_204410	1.23298107545075
TGME49_204440	3.42495312243197
TGME49_204480	2.87630697020436
TGME49_204490	0.951924598150866
TGME49_204500	-5.68782583335873
TGME49_204540	-0.784809607012148
TGME49_204550	-1.06327017240044
TGME49_204880	3.30240664493377
TGME49_205000	-0.779315137622754
TGME49_205010	-0.992593648114782
TGME49_205030	1.62387016089938
TGME49_205040	1.24439445488202
TGME49_205060	1.95927498547877
TGME49_205100	2.59849584409866
TGME49_205110	0.166269929743826
TGME49_205120	2.74151575746023
TGME49_205130	1.83569394494621
TGME49_205150	-1.42361674209896
TGME49_205160	-0.26845334422897
TGME49_205170	5.98729482102532
TGME49_205180	-0.445229120734436
TGME49_205190	-0.109761797047269
TGME49_205200	5.52675056356799
TGME49_205210	-7.29731239679085
TGME49_205220	-0.47762385612831
TGME49_205240	0.116503243429174
TGME49_205265	7.63572703209862
TGME49_205280	7.23709533941718
TGME49_205290	1.28524584807334
TGME49_205300	-0.974715784881416
TGME49_205320	1.61482252858308
TGME49_205330	5.95243328518651
TGME49_205350	1.45902118400404
TGME49_205360	8.05046751087973
TGME49_205370	2.53440637472463
TGME49_205380	-2.38176447752692
TGME49_205390	-0.547520554533184
TGME49_205410	-0.503348395108904
TGME49_205440	-0.162519286974789
TGME49_205460	2.51252612853152
TGME49_205470	-2.16869301076571
TGME49_205490	2.74697030398778
TGME49_205500	-1.43621582089033
TGME49_205510	-2.13443718289451
TGME49_205530	0.339032405693029
TGME49_205540	-2.36392811090908
TGME49_205550	-1.45597007240427
TGME49_205558	-1.870603243416
TGME49_205562	1.6435410393778
TGME49_205570	-2.16738320985511
TGME49_205580	-1.89957997079307
TGME49_205600	-2.0577814109678
TGME49_205640	2.00936196461636
TGME49_205670	6.15992405892083
TGME49_205680	5.74768394334665
TGME49_205690	3.04988833869731
TGME49_205700	0.488073223101035
TGME49_205710	-1.7853702477621
TGME49_205720	-1.85685409395229
TGME49_205730	2.10306636031899
TGME49_205740	-0.17654287619279
TGME49_206300	-0.705163182629831
TGME49_206310	-2.09044607875051
TGME49_206320	-0.183203039069769
TGME49_206330	0.762775434589241
TGME49_206340	4.30329537047637
TGME49_206350	2.47588941507903
TGME49_206360	-0.281681662411303
TGME49_206380	4.65388144467695
TGME49_206390	0.242508520500437
TGME49_206415	1.63875021685109
TGME49_206450	9.11608141292427
TGME49_206460	6.34651746119428
TGME49_206480	-0.482409400710928
TGME49_206490	-0.4785771691351
TGME49_206540	1.08301792272457
TGME49_206600	0.546790641965922
TGME49_206630	1.57043698188208
TGME49_206640	0.713708921046977
TGME49_206670	-0.615933396694051
TGME49_206680	-1.16751210303141
TGME49_206695	7.98878909742404
TGME49_206700	1.10669275744418
TGME49_206710	9.23681025787073
TGME49_207020	0.824186436531983
TGME49_207040	-2.01938434467188
TGME49_207050	-8.59979216278433
TGME49_207060	1.30249999434714
TGME49_207100	0.624430175257062
TGME49_207180	-0.597888658519604
TGME49_207200	-0.63856867496665
TGME49_207230	2.79551908413518
TGME49_207240	3.37329288297017
TGME49_207370	1.95832698236761
TGME49_207390	-0.495885111223815
TGME49_207400	0.107516788171079
TGME49_207420	-1.15431352197192
TGME49_207430	1.21620505388575
TGME49_207450	0.238669808950724
TGME49_207460	-0.168790188167892
TGME49_207590	4.20397422018978
TGME49_207620	-0.557287301461624
TGME49_207640	-0.431005164089164
TGME49_207665	9.24776767628408
TGME49_207710	0.753329831135308
TGME49_207720	-1.01403379112891
TGME49_207750	2.26373352857812
