gene_id	fit_complete_medium_2025	fit_no_glutamine	fit_no_glucose	fit_glucose_dependence	fit_glucose_dependence_fdr
TGGT1_249600	0.2391641342	0.1531600729	0.1744282708	0.01058021757	1
TGGT1_319680	1.02754113	0.3506969906	0.3983309159	0.0107046918	1
TGGT1_278870	-0.4340176648	-2.200244413	-2.147172481	0.01089082208	1
TGGT1_320010	0.6235186854	0.7044115792	0.7088101225	0.01100543876	1
TGGT1_409580	0.7755238624	-0.02611759935	-0.01806839436	0.01128541709	1
TGGT1_264660	0.8886865585	0.4428102575	0.4388239518	0.01161775045	1
TGGT1_205160	2.433519605	-2.951061389	-2.834639944	0.0116579856	1
TGGT1_227275	-1.160430288	-0.1730645457	-0.1762029709	0.01167677813	1
TGGT1_268700	-0.9209893782	0.1154123544	0.1438225089	0.01172410024	1
TGGT1_321280	0.2781981209	0.2540113268	0.2668985438	0.0118079426	1
TGGT1_230500	-3.392063377	-3.663001526	-3.663001526	0.01183740762	1
TGGT1_235590	0.4361359871	0.4077899011	0.422100953	0.0119990473	1
TGGT1_265320	1.884941954	0.4747015384	0.4605762139	0.01229862895	1
TGGT1_270280	0.8690038996	0.5034032387	0.5217524988	0.01231432819	1
TGGT1_315140	-4.053596183	-2.996835706	-2.996835706	0.01248230704	1
TGGT1_249860	0.8035544983	0.3204250218	0.3277220626	0.01248292332	1
TGGT1_310690	1.225680558	0.2290420768	0.2413625502	0.01271989028	1
TGGT1_246763	0.4833318393	0.480850799	0.4890263121	0.01280091764	1
TGGT1_261780	-3.343658469	-4.070598887	-4.070598887	0.01289688174	1
TGGT1_310173	1.237940781	0.6323496367	0.6332082051	0.01305004688	1
TGGT1_276850	0.09288005476	0.2496085205	0.2747273989	0.01311893678	1
TGGT1_289630	1.888544203	0.4057893373	0.4128837137	0.01317686903	1
TGGT1_310340	-0.6472055417	0.1832096439	0.1970391933	0.01350733963	1
TGGT1_281460	0.3614098888	0.4209255366	0.4425263574	0.01354800865	1
TGGT1_309070	0.3025249598	-0.2765789262	-0.2861811216	0.01363801247	1
TGGT1_265810	0.4851688403	-0.2580963392	-0.2376062694	0.01365571441	1
TGGT1_308010	1.283681991	-0.01451554576	-0.003179889255	0.01377847724	1
TGGT1_238470	1.724941464	0.3441636959	0.363790985	0.01435130393	1
TGGT1_318750	0.5574409242	0.4581114137	0.4861379523	0.01446959019	1
TGGT1_263820	-0.3257546833	0.1604942798	0.1741290958	0.01464667768	1
TGGT1_275370	1.072167083	0.3173488214	0.338711912	0.01479687085	1
TGGT1_295980	0.9979144288	0.1113008106	0.1205914559	0.0149386897	1
TGGT1_230190	0.4818107665	-0.2587369173	-0.2234414207	0.01502944985	1
TGGT1_286120	1.150009958	0.3827540147	0.4128745848	0.01509850183	1
TGGT1_278430	0.1295279301	0.1943496574	0.2111435536	0.01517893976	1
TGGT1_220360	0.5431962951	-0.9351911105	-0.8096916204	0.01531827918	1
TGGT1_217490	1.666813479	0.4317530984	0.4352618453	0.0154181966	1
TGGT1_321410	-0.1174710039	0.2061533477	0.2998438649	0.01561673922	1
TGGT1_221865	0.1874365245	0.02595638711	0.1761487816	0.01567268335	1
TGGT1_209045	1.733810199	0.4825165702	0.5045543605	0.01573846036	1
TGGT1_306880	0.5668956194	0.4988943092	0.5178513823	0.01578629147	1
TGGT1_273065	-0.1326793197	0.1839957891	0.1886735604	0.0161072187	1
TGGT1_251650	0.7283889104	0.1286798998	0.1607129111	0.01614636848	1
TGGT1_217550	0.8593609891	0.2456983051	0.280956898	0.01615851928	1
TGGT1_210400	0.04393164337	0.3235585161	0.3502375511	0.016267206	1
TGGT1_207050	1.127526156	0.1788696871	0.1985475757	0.01636994014	1
TGGT1_243700	1.399797195	0.2838795436	0.3088316875	0.01663670676	1
TGGT1_294030	-0.134377017	0.0939689499	0.1211996537	0.01677306724	1
TGGT1_250330	-0.4874198347	0.18495139	0.1183886946	0.01677318592	1
TGGT1_205460	1.66160528	0.3210735442	0.341124053	0.01677564995	1
TGGT1_232590	1.123554282	0.2130096294	0.2387728659	0.01680662119	1
