organism,strategy,settings,metric,runs,conclusive,pass_rate,observed,observed_low,observed_high,chance,skill,skill_low,skill_high,seconds
Pf,cluster_guilt,"{""min_cluster_size"": 25, ""min_lift"": 3.0, ""selection"": ""eom"", ""target"": ""stage_enriched_derived""}",precision of calls on hidden genes,5,0,0.0,,,,,,,,5.9399999999999995
Pf,cluster_guilt,"{""min_cluster_size"": 25, ""min_lift"": 3.0, ""selection"": ""leaf"", ""target"": ""is_exported""}",precision of calls on hidden genes,5,5,1.0,0.3575171246817659,0.09033512416910794,0.6246991251944238,0.0,0.3575171246817659,0.09033512416910794,0.6246991251944238,7.101999999999999
Pf,cluster_guilt,"{""min_cluster_size"": 25, ""min_lift"": 3.0, ""selection"": ""leaf"", ""target"": ""pb_transferred_phenotype""}",precision of calls on hidden genes,5,1,0.2,1.0,1.0,1.0,0.0,1.0,1.0,1.0,7.416000000000001
Pf,cluster_guilt,"{""min_cluster_size"": 25, ""min_lift"": 3.0, ""selection"": ""leaf"", ""target"": ""stage_enriched_derived""}",precision of calls on hidden genes,5,0,0.0,,,,,,,,6.958000000000001
Pf,cluster_guilt,"{""min_cluster_size"": 60, ""min_lift"": 1.5, ""selection"": ""eom"", ""target"": ""is_exported""}",precision of calls on hidden genes,5,5,1.0,0.3613266484912897,0.09329270283177798,0.6293605941508014,0.0,0.3613266484912897,0.09329270283177798,0.6293605941508014,4.05
Pf,cluster_guilt,"{""min_cluster_size"": 60, ""min_lift"": 1.5, ""selection"": ""eom"", ""target"": ""pb_transferred_phenotype""}",precision of calls on hidden genes,5,2,0.4,0.5651460942158617,0.06318660478737459,1.0671055836443488,0.0,0.5651460942158617,0.06318660478737459,1.0671055836443488,3.964
Pf,cluster_guilt,"{""min_cluster_size"": 60, ""min_lift"": 1.5, ""selection"": ""eom"", ""target"": ""stage_enriched_derived""}",precision of calls on hidden genes,5,0,0.0,,,,,,,,4.02
Pf,cluster_guilt,"{""min_cluster_size"": 60, ""min_lift"": 1.5, ""selection"": ""leaf"", ""target"": ""is_exported""}",precision of calls on hidden genes,5,5,1.0,0.3613266484912897,0.09329270283177798,0.6293605941508014,0.0005,0.3610258966115904,0.09307429029730457,0.6289775029258762,6.22
Pf,cluster_guilt,"{""min_cluster_size"": 60, ""min_lift"": 1.5, ""selection"": ""leaf"", ""target"": ""pb_transferred_phenotype""}",precision of calls on hidden genes,5,4,0.8,0.588540958339,0.41033601427767397,0.766745902400326,0.0020833333333333333,0.5879962960296318,0.41136027262570757,0.764632319433556,6.396
Pf,cluster_guilt,"{""min_cluster_size"": 60, ""min_lift"": 1.5, ""selection"": ""leaf"", ""target"": ""stage_enriched_derived""}",precision of calls on hidden genes,5,0,0.0,,,,,,,,6.15
Pf,cluster_guilt,"{""min_cluster_size"": 60, ""min_lift"": 3.0, ""selection"": ""eom"", ""target"": ""is_exported""}",precision of calls on hidden genes,5,5,1.0,0.3613266484912897,0.09329270283177798,0.6293605941508014,0.0,0.3613266484912897,0.09329270283177798,0.6293605941508014,7.264
Pf,cluster_guilt,"{""min_cluster_size"": 60, ""min_lift"": 3.0, ""selection"": ""eom"", ""target"": ""pb_transferred_phenotype""}",precision of calls on hidden genes,5,0,0.0,,,,,,,,7.228
Pf,cluster_guilt,"{""min_cluster_size"": 60, ""min_lift"": 3.0, ""selection"": ""eom"", ""target"": ""stage_enriched_derived""}",precision of calls on hidden genes,5,0,0.0,,,,,,,,6.9879999999999995
Pf,cluster_guilt,"{""min_cluster_size"": 60, ""min_lift"": 3.0, ""selection"": ""leaf"", ""target"": ""is_exported""}",precision of calls on hidden genes,5,5,1.0,0.3613266484912897,0.09329270283177798,0.6293605941508014,0.0005,0.3610258966115904,0.09307429029730457,0.6289775029258762,6.154
Pf,cluster_guilt,"{""min_cluster_size"": 60, ""min_lift"": 3.0, ""selection"": ""leaf"", ""target"": ""pb_transferred_phenotype""}",precision of calls on hidden genes,5,1,0.2,1.0,1.0,1.0,0.0,1.0,1.0,1.0,6.459999999999999
Pf,cluster_guilt,"{""min_cluster_size"": 60, ""min_lift"": 3.0, ""selection"": ""leaf"", ""target"": ""stage_enriched_derived""}",precision of calls on hidden genes,5,0,0.0,,,,,,,,6.122
Pf,condition_shift,"{""model"": ""boosted"", ""own_kind"": ""include""}",rank correlation of predicted and hidden values,5,5,1.0,0.6418487723069513,0.6356448276220054,0.6480527169918971,0.0,0.6418487723069513,0.6356448276220054,0.6480527169918971,3.4840000000000004
Pf,condition_shift,"{""model"": ""boosted"", ""own_kind"": ""leave out""}",rank correlation of predicted and hidden values,5,5,1.0,0.6418487723069513,0.6356448276220054,0.6480527169918971,0.0,0.6418487723069513,0.6356448276220054,0.6480527169918971,4.1259999999999994
Pf,condition_shift,"{""model"": ""ridge"", ""own_kind"": ""include""}",rank correlation of predicted and hidden values,5,5,1.0,0.579829707389654,0.5671666528644649,0.5924927619148431,0.0,0.579829707389654,0.5671666528644649,0.5924927619148431,0.20600000000000002
Pf,condition_shift,"{""model"": ""ridge"", ""own_kind"": ""leave out""}",rank correlation of predicted and hidden values,5,5,1.0,0.579829707389654,0.5671666528644649,0.5924927619148431,0.0,0.579829707389654,0.5671666528644649,0.5924927619148431,0.25400000000000006
Pf,conjunctions,"{""min_cluster_size"": 15}",share of findings that replicate,5,0,0.0,,,,,,,,7.352000000000001
Pf,conjunctions,"{""min_cluster_size"": 30}",share of findings that replicate,5,0,0.0,,,,,,,,7.886
Pf,conjunctions,"{""min_cluster_size"": 8}",share of findings that replicate,5,0,0.0,,,,,,,,13.222
Pf,consensus_modules,"{""target"": ""is_exported"", ""threshold"": 0.3}",F1 of hidden genes in the module chosen for their label on known genes,5,5,0.0,0.9101851317643124,0.8137210159948784,1.0066492475337463,0.8739085998521414,0.3500327980578682,0.17609799055202757,0.5239676055637088,9.812
Pf,consensus_modules,"{""target"": ""is_exported"", ""threshold"": 0.5}",F1 of hidden genes in the module chosen for their label on known genes,5,5,0.0,0.9081119134575537,0.8107731234870931,1.0054507034280142,0.870840811326363,0.3478062420440152,0.176897008000748,0.5187154760872824,8.344
Pf,consensus_modules,"{""target"": ""is_exported"", ""threshold"": 0.8}",F1 of hidden genes in the module chosen for their label on known genes,5,5,0.0,0.07937273142765015,-0.010541353830039624,0.16928681668533993,0.06098780648543817,0.02005576114488703,0.005794452719220812,0.03431706957055325,9.632000000000001
Pf,consensus_modules,"{""target"": ""pb_transferred_phenotype"", ""threshold"": 0.3}",F1 of hidden genes in the module chosen for their label on known genes,5,5,0.6,0.3556557543068478,0.2765487199593655,0.43476278865433016,0.28873026641585364,0.08926785130549271,-0.01126268996764096,0.18979839257862638,11.291999999999998
Pf,consensus_modules,"{""target"": ""pb_transferred_phenotype"", ""threshold"": 0.5}",F1 of hidden genes in the module chosen for their label on known genes,5,5,0.4,0.25686272149915806,0.19743397268214402,0.3162914703161721,0.20682987287059668,0.06245526793112936,0.01836685459375193,0.1065436812685068,7.417999999999999
Pf,consensus_modules,"{""target"": ""pb_transferred_phenotype"", ""threshold"": 0.8}",F1 of hidden genes in the module chosen for their label on known genes,5,5,0.4,0.15995856898778194,0.10958730923155417,0.21032982874400968,0.11562946726405543,0.050221426041816744,0.020917387725275436,0.07952546435835806,6.306
Pf,consensus_modules,"{""target"": ""stage_enriched_derived"", ""threshold"": 0.3}",F1 of hidden genes in the module chosen for their label on known genes,5,5,0.0,0.6394284389508569,0.5956315402874571,0.6832253376142566,0.6371637202314064,0.0067804981438069276,-0.012045182738367681,0.025606179025981536,8.974
Pf,consensus_modules,"{""target"": ""stage_enriched_derived"", ""threshold"": 0.5}",F1 of hidden genes in the module chosen for their label on known genes,5,5,0.0,0.5709309332101729,0.387613660094217,0.7542482063261287,0.5582905578865465,0.020169659013947586,-0.022129169524432668,0.06246848755232784,4.872
Pf,consensus_modules,"{""target"": ""stage_enriched_derived"", ""threshold"": 0.8}",F1 of hidden genes in the module chosen for their label on known genes,5,5,0.2,0.07504378780701419,-0.009319590013442527,0.15940716562747093,0.05039390064207601,0.026883964347089884,-0.006744263019807174,0.060512191713986946,10.213999999999999
Pf,feature_knn,"{""k"": 15, ""min_share"": 0.0, ""target"": ""is_exported""}",correct calls per hidden gene,5,5,0.0,0.9296503496503495,0.8797531337818673,0.9795475655188318,0.9548251748251749,-0.528169991152291,-1.4656534949339084,0.40931351262932636,1.0399999999999998
Pf,feature_knn,"{""k"": 15, ""min_share"": 0.0, ""target"": ""pb_transferred_phenotype""}",correct calls per hidden gene,5,5,1.0,0.6404605263157895,0.6256210877217169,0.6552999649098622,0.4356907894736842,0.3628653610043942,0.3436097827529457,0.38212093925584273,0.43
